file	agree	miss	extra
O2_rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion_stripped	0	28	26
O2_rosetta_v06_00120_Averages-Median_averages-median-1_stripped	11	7	1
O2_rosetta_v06_00014_24-game_24-game_stripped	10	39	61
O2_rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped	5	21	35
O2_rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped	10	20	8
O2_rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1_stripped	5	20	34
O2_rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped	9	6	1
O2_rosetta_v06_00043_Ackermann-function_ackermann-function-1_stripped	8	7	28
O2_rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped	7	28	101
O2_rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped	4	18	30
O2_rosetta_v06_00924_Munching-squares_munching-squares_stripped	10	15	9
O2_rosetta_v06_01059_Permutations-Derangements_permutations-derangements_stripped	2	19	83
O2_rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped	12	21	23
O2_rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month_stripped	8	8	7
O2_rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1_stripped	3	15	9
O2_rosetta_v06_01489_Tic-tac-toe_tic-tac-toe_stripped	10	17	62
O2_rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped	8	3	1
O2_rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped	8	19	15
O2_rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped	8	16	68
O2_rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped	12	15	19
O2_rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped	9	10	4
O2_rosetta_v06_01498_Topological-sort_topological-sort-1_stripped	5	23	48
O2_rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_stripped	10	11	11
O2_rosetta_v06_00262_Combinations_combinations-2_stripped	10	5	18
O2_rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped	10	12	26
O2_rosetta_v06_00141_Best-shuffle_best-shuffle-1_stripped	5	27	36
O2_rosetta_v06_00995_Ordered-words_ordered-words-3_stripped	7	23	15
O2_rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped	10	7	5
O2_rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle_stripped	0	21	14
O2_rosetta_v06_00629_Guess-the-number_guess-the-number_stripped	8	14	3
O2_rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped	0	21	10
O2_rosetta_v06_00001_100-doors_100-doors-1_stripped	8	6	5
O2_rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped	12	8	24
O2_rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1_stripped	8	8	3
O2_rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped	9	21	21
O2_rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2_stripped	8	25	4
O2_rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped	8	6	2
O2_rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers_stripped	21	23	28
O2_rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped	8	20	4
O2_rosetta_v06_00611_Gotchas_gotchas-8_stripped	0	13	6
O2_rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped	8	15	51
O2_rosetta_v06_00217_Call-an-object-method_call-an-object-method_stripped	10	7	3
O2_rosetta_v06_01039_Pells-equation_pells-equation_stripped	11	8	8
O2_rosetta_v06_00365_Descending-primes_descending-primes_stripped	4	13	20
O2_rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped	8	8	3
O2_rosetta_v06_00006_100-prisoners_100-prisoners_stripped	7	23	34
O2_rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped	3	16	10
O2_rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm_stripped	12	27	33
O2_rosetta_v06_01312_Sockets_sockets_stripped	8	18	4
O2_rosetta_v06_01396_String-comparison_string-comparison-2_stripped	6	16	14
O2_rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal_stripped	8	10	2
O2_rosetta_v06_01477_Text-processing-2_text-processing-2_stripped	11	31	15
O2_rosetta_v06_00023_A+B_a+b-3_stripped	8	8	2
